TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 08:00,01F0017N,01F0005N,31,93,60
2024/04/29 08:00,01F0029N,01F0017N,31,93,90
2024/04/29 08:00,01F0005S,01F0017S,31,88,86
2024/04/29 08:00,01F0061N,01F0029N,31,93,100
2024/04/29 08:00,01F0017S,01F0029S,31,90,142
2024/04/29 08:00,01F0099N,01F0061N,31,90,115
2024/04/29 08:00,01F0029S,01F0061S,31,43,154
2024/04/29 08:00,01F0147N,01F0099N,31,97,64
2024/04/29 08:00,01H0174N,01F0099N,31,104,26
2024/04/29 08:00,03F0087S,01F0099N,31,3,3
2024/04/29 08:00,03F0116N,01F0099N,31,86,40
2024/04/29 08:00,01F0061S,01F0099S,31,18,163
2024/04/29 08:00,01F0153N,01F0147N,31,90,173
2024/04/29 08:00,01F0099S,01F0147S,31,25,100
2024/04/29 08:00,03F0087S,01F0147S,31,21,59
2024/04/29 08:00,03F0116N,01F0147S,31,14,22
2024/04/29 08:00,01F0213N,01F0153N,31,75,135
2024/04/29 08:00,01F0147S,01F0153S,31,25,219
2024/04/29 08:00,01F0153S,01F0182S,31,57,157
2024/04/29 08:00,01F0233N,01F0213N,31,57,182
2024/04/29 08:00,01F0256N,01F0233N,31,25,264
2024/04/29 08:00,01F0182S,01F0248S,31,72,153
2024/04/29 08:00,01F0293N,01F0256N,31,14,168
2024/04/29 08:00,01F0248S,01F0264S,31,90,260
2024/04/29 08:00,01F0340N,01F0293N,31,43,168
2024/04/29 08:00,01F0264S,01F0293S,31,97,278
2024/04/29 08:00,01F0293S,01F0339S,31,90,270
2024/04/29 08:00,01H0305S,01F0339S,31,93,93
2024/04/29 08:00,01F0376N,01F0340N,31,50,414
2024/04/29 08:00,01H0447N,01F0340N,31,75,135
2024/04/29 08:00,01F0413N,01F0376N,31,46,220
2024/04/29 08:00,01F0339S,01F0376S,31,57,316
2024/04/29 08:00,01F0467N,01F0413N,31,32,202
2024/04/29 08:00,01F0376S,01F0413S,31,25,195
2024/04/29 08:00,01F0492N,01F0467N,31,25,195
2024/04/29 08:00,01F0413S,01F0467S,31,93,181
2024/04/29 08:00,01F0511N,01F0492N,31,97,197
2024/04/29 08:00,01F0467S,01F0492S,31,97,202
2024/04/29 08:00,01F0532N,01F0511N,31,82,256
2024/04/29 08:00,03F0525S,01F0511N,31,72,24
2024/04/29 08:00,03F0559N,01F0511N,31,68,22
2024/04/29 08:00,01F0492S,01F0511S,31,97,201
2024/04/29 08:00,01F0532S,01F0532N,31,3,9
2024/04/29 08:00,01F0557N,01F0532N,31,82,344
2024/04/29 08:00,01F0511S,01F0532S,31,72,217
2024/04/29 08:00,03F0525S,01F0532S,31,59,10
2024/04/29 08:00,03F0559N,01F0532S,31,54,4
2024/04/29 08:00,01F0584N,01F0557N,31,86,219
2024/04/29 08:00,01F0532S,01F0557S,31,39,299
2024/04/29 08:00,01F0557N,01F0557S,31,0,12
2024/04/29 08:00,01F0557S,01F0578S,31,43,200
2024/04/29 08:00,01F0633N,01F0584N,31,72,163
2024/04/29 08:00,01H0608N,01F0584N,31,75,104
2024/04/29 08:00,01F0664N,01F0633N,31,97,148
2024/04/29 08:00,01F0578S,01F0633S,31,64,155
2024/04/29 08:00,01H0579S,01F0633S,31,72,55
2024/04/29 08:00,01F0681N,01F0664N,31,97,168
2024/04/29 08:00,01F0633S,01F0664S,31,75,213
2024/04/29 08:00,01F0699N,01F0681N,31,100,64
2024/04/29 08:00,01F0664S,01F0681S,31,86,244
2024/04/29 08:00,01F0750N,01F0699N,31,108,105
2024/04/29 08:00,01F0681S,01F0699S,31,90,150
2024/04/29 08:00,01F0880N,01F0750N,31,97,160
2024/04/29 08:00,01F0699S,01F0750S,31,50,222
2024/04/29 08:00,01H0610S,01F0750S,31,61,148
2024/04/29 08:00,01F0928N,01F0880N,31,90,196
2024/04/29 08:00,01F0750S,01F0880S,31,46,275
2024/04/29 08:00,01F0956N,01F0928N,31,90,146
2024/04/29 08:00,01F0880S,01F0928S,31,79,251
2024/04/29 08:00,01F0928S,01F0950S,31,86,127
2024/04/29 08:00,01F0979N,01F0956N,31,93,154
2024/04/29 08:00,01F1045N,01F0979N,31,75,252
2024/04/29 08:00,03F0996S,01F0979N,31,18,33
2024/04/29 08:00,03F1022N,01F0979N,31,10,79
2024/04/29 08:00,01F0950S,01F0980S,31,97,104
2024/04/29 08:00,01F1123N,01F1045N,31,93,183
2024/04/29 08:00,01F0980S,01F1045S,31,100,114
2024/04/29 08:00,03F0996S,01F1045S,31,86,51
2024/04/29 08:00,03F1022N,01F1045S,31,54,5
2024/04/29 08:00,01F1292N,01F1123N,31,104,161
2024/04/29 08:00,01F1045S,01F1123S,31,100,91
2024/04/29 08:00,01F1389N,01F1292N,31,104,126
2024/04/29 08:00,01F1123S,01F1292S,31,100,118
2024/04/29 08:00,01F1465N,01F1389N,31,104,145
2024/04/29 08:00,01F1292S,01F1389S,31,104,69
2024/04/29 08:00,01F1572N,01F1465N,31,100,182
2024/04/29 08:00,01F1389S,01F1465S,31,100,102
2024/04/29 08:00,01F1621N,01F1572N,31,104,177
2024/04/29 08:00,01F1465S,01F1572S,31,100,82
2024/04/29 08:00,01F1664N,01F1621N,31,100,171
2024/04/29 08:00,03F1651S,01F1621N,31,0,0
2024/04/29 08:00,03F1710N,01F1621N,31,86,9
2024/04/29 08:00,01F1572S,01F1621S,31,108,83
2024/04/29 08:00,01F1699N,01F1664N,31,97,259
2024/04/29 08:00,01F1621S,01F1664S,31,104,119
2024/04/29 08:00,03F1651S,01F1664S,31,93,33
2024/04/29 08:00,03F1710N,01F1664S,31,93,15
2024/04/29 08:00,01F1774N,01F1699N,31,97,231
2024/04/29 08:00,01F1664S,01F1699S,31,97,222
2024/04/29 08:00,01F1802N,01F1774N,31,97,159
2024/04/29 08:00,01F1699S,01F1774S,31,75,248
2024/04/29 08:00,01F1839N,01F1802N,31,100,180
2024/04/29 08:00,01F1774S,01F1802S,31,104,128
2024/04/29 08:00,01F1906N,01F1839N,31,97,244
2024/04/29 08:00,01F1802S,01F1839S,31,104,161
2024/04/29 08:00,01F1960N,01F1906N,31,104,233
2024/04/29 08:00,03F1944S,01F1906N,31,68,25
2024/04/29 08:00,03F1992N,01F1906N,31,68,9
2024/04/29 08:00,01F1839S,01F1906S,31,104,182
2024/04/29 08:00,01F2011N,01F1960N,31,100,196
2024/04/29 08:00,01F1906S,01F1960S,31,108,159
2024/04/29 08:00,03F1944S,01F1960S,31,79,38
2024/04/29 08:00,03F1992N,01F1960S,31,75,42
2024/04/29 08:00,01F2089N,01F2011N,31,100,204
2024/04/29 08:00,01F1960S,01F2011S,31,104,162
2024/04/29 08:00,01F2156N,01F2089N,31,108,140
2024/04/29 08:00,01F2011S,01F2089S,31,100,172
2024/04/29 08:00,01F2249N,01F2156N,31,108,90
2024/04/29 08:00,01F2089S,01F2156S,31,104,151
2024/04/29 08:00,01F2322N,01F2249N,31,106,102
2024/04/29 08:00,01F2156S,01F2249S,31,108,126
2024/04/29 08:00,01F2394N,01F2322N,31,111,96
2024/04/29 08:00,01F2249S,01F2322S,31,104,119
2024/04/29 08:00,01F2425N,01F2394N,31,111,89
2024/04/29 08:00,01F2322S,01F2394S,31,108,122
2024/04/29 08:00,01F2472N,01F2425N,31,109,86
2024/04/29 08:00,01F2394S,01F2425S,31,111,92
2024/04/29 08:00,01F2514N,01F2472N,31,108,105
2024/04/29 08:00,01F2425S,01F2472S,31,111,95
2024/04/29 08:00,01F2603N,01F2514N,31,108,111
2024/04/29 08:00,01F2472S,01F2514S,31,108,111
2024/04/29 08:00,01F2674N,01F2603N,31,108,66
2024/04/29 08:00,01F2514S,01F2603S,31,108,109
2024/04/29 08:00,01F2714N,01F2674N,31,108,98
2024/04/29 08:00,01F2603S,01F2674S,31,108,102
2024/04/29 08:00,01F2827N,01F2714N,31,111,69
2024/04/29 08:00,01F2674S,01F2714S,31,108,97
2024/04/29 08:00,01F2866N,01F2827N,31,111,90
2024/04/29 08:00,01F2714S,01F2827S,31,108,89
2024/04/29 08:00,01F2930N,01F2866N,31,108,76
2024/04/29 08:00,01F2827S,01F2866S,31,108,94
2024/04/29 08:00,01F3019N,01F2930N,31,104,116
2024/04/29 08:00,01F2866S,01F2930S,31,108,78
2024/04/29 08:00,01F3083N,01F3019N,31,108,115
2024/04/29 08:00,01F2930S,01F3019S,31,108,160
2024/04/29 08:00,01F3126N,01F3083N,31,104,137
2024/04/29 08:00,01F3019S,01F3083S,31,104,177
2024/04/29 08:00,01F3185N,01F3126N,31,93,234
2024/04/29 08:00,03F3445S,01F3126N,31,18,2
2024/04/29 08:00,03F3496N,01F3126N,31,90,13
2024/04/29 08:00,01F3083S,01F3126S,31,104,162
2024/04/29 08:00,01F3227N,01F3185N,31,57,241
2024/04/29 08:00,01F3126S,01F3185S,31,100,179
2024/04/29 08:00,03F3445S,01F3185S,31,86,21
2024/04/29 08:00,03F3496N,01F3185S,31,79,1
2024/04/29 08:00,01F3252N,01F3227N,31,64,242
2024/04/29 08:00,01F3185S,01F3227S,31,93,209
