TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 15:10,01F0017N,01F0005N,31,91,62
2024/04/29 15:10,01F0029N,01F0017N,31,93,68
2024/04/29 15:10,01F0005S,01F0017S,31,88,66
2024/04/29 15:10,01F0061N,01F0029N,31,93,90
2024/04/29 15:10,01F0017S,01F0029S,31,90,84
2024/04/29 15:10,01F0099N,01F0061N,31,72,137
2024/04/29 15:10,01F0029S,01F0061S,31,90,111
2024/04/29 15:10,01F0147N,01F0099N,31,86,63
2024/04/29 15:10,01H0174N,01F0099N,31,100,60
2024/04/29 15:10,03F0087S,01F0099N,31,0,0
2024/04/29 15:10,03F0116N,01F0099N,31,72,54
2024/04/29 15:10,01F0061S,01F0099S,31,86,185
2024/04/29 15:10,01F0153N,01F0147N,31,72,150
2024/04/29 15:10,01F0099S,01F0147S,31,82,88
2024/04/29 15:10,03F0087S,01F0147S,31,86,15
2024/04/29 15:10,03F0116N,01F0147S,31,57,23
2024/04/29 15:10,01F0213N,01F0153N,31,57,97
2024/04/29 15:10,01F0147S,01F0153S,31,82,152
2024/04/29 15:10,01F0153S,01F0182S,31,75,113
2024/04/29 15:10,01F0233N,01F0213N,31,75,97
2024/04/29 15:10,01F0256N,01F0233N,31,68,199
2024/04/29 15:10,01F0182S,01F0248S,31,68,114
2024/04/29 15:10,01F0293N,01F0256N,31,86,235
2024/04/29 15:10,01F0248S,01F0264S,31,86,230
2024/04/29 15:10,01F0340N,01F0293N,31,93,194
2024/04/29 15:10,01F0264S,01F0293S,31,93,227
2024/04/29 15:10,01F0293S,01F0339S,31,75,183
2024/04/29 15:10,01H0305S,01F0339S,31,72,70
2024/04/29 15:10,01F0376N,01F0340N,31,32,320
2024/04/29 15:10,01H0447N,01F0340N,31,79,76
2024/04/29 15:10,01F0413N,01F0376N,31,64,141
2024/04/29 15:10,01F0339S,01F0376S,31,14,201
2024/04/29 15:10,01F0467N,01F0413N,31,82,153
2024/04/29 15:10,01F0376S,01F0413S,31,72,97
2024/04/29 15:10,01F0492N,01F0467N,31,93,185
2024/04/29 15:10,01F0413S,01F0467S,31,93,108
2024/04/29 15:10,01F0511N,01F0492N,31,97,189
2024/04/29 15:10,01F0467S,01F0492S,31,93,190
2024/04/29 15:10,01F0532N,01F0511N,31,90,209
2024/04/29 15:10,03F0525S,01F0511N,31,79,11
2024/04/29 15:10,03F0559N,01F0511N,31,86,24
2024/04/29 15:10,01F0492S,01F0511S,31,86,198
2024/04/29 15:10,01F0532S,01F0532N,31,3,13
2024/04/29 15:10,01F0557N,01F0532N,31,86,258
2024/04/29 15:10,01F0511S,01F0532S,31,90,160
2024/04/29 15:10,03F0525S,01F0532S,31,79,10
2024/04/29 15:10,03F0559N,01F0532S,31,45,2
2024/04/29 15:10,01F0584N,01F0557N,31,90,164
2024/04/29 15:10,01F0532S,01F0557S,31,43,181
2024/04/29 15:10,01F0557N,01F0557S,31,0,15
2024/04/29 15:10,01F0557S,01F0578S,31,18,161
2024/04/29 15:10,01F0633N,01F0584N,31,79,122
2024/04/29 15:10,01H0608N,01F0584N,31,79,43
2024/04/29 15:10,01F0664N,01F0633N,31,90,156
2024/04/29 15:10,01F0578S,01F0633S,31,54,104
2024/04/29 15:10,01H0579S,01F0633S,31,68,28
2024/04/29 15:10,01F0681N,01F0664N,31,93,174
2024/04/29 15:10,01F0633S,01F0664S,31,86,98
2024/04/29 15:10,01F0699N,01F0681N,31,93,114
2024/04/29 15:10,01F0664S,01F0681S,31,97,114
2024/04/29 15:10,01F0750N,01F0699N,31,97,130
2024/04/29 15:10,01F0681S,01F0699S,31,97,76
2024/04/29 15:10,01F0880N,01F0750N,31,93,208
2024/04/29 15:10,01F0699S,01F0750S,31,100,89
2024/04/29 15:10,01H0610S,01F0750S,31,93,85
2024/04/29 15:10,01F0928N,01F0880N,31,82,213
2024/04/29 15:10,01F0750S,01F0880S,31,97,142
2024/04/29 15:10,01F0956N,01F0928N,31,75,159
2024/04/29 15:10,01F0880S,01F0928S,31,97,113
2024/04/29 15:10,01F0928S,01F0950S,31,100,113
2024/04/29 15:10,01F0979N,01F0956N,31,97,170
2024/04/29 15:10,01F1045N,01F0979N,31,97,127
2024/04/29 15:10,03F0996S,01F0979N,31,111,7
2024/04/29 15:10,03F1022N,01F0979N,31,75,87
2024/04/29 15:10,01F0950S,01F0980S,31,97,129
2024/04/29 15:10,01F1123N,01F1045N,31,100,134
2024/04/29 15:10,01F0980S,01F1045S,31,100,128
2024/04/29 15:10,03F0996S,01F1045S,31,93,36
2024/04/29 15:10,03F1022N,01F1045S,31,75,5
2024/04/29 15:10,01F1292N,01F1123N,31,100,162
2024/04/29 15:10,01F1045S,01F1123S,31,100,124
2024/04/29 15:10,01F1389N,01F1292N,31,104,162
2024/04/29 15:10,01F1123S,01F1292S,31,100,103
2024/04/29 15:10,01F1465N,01F1389N,31,104,192
2024/04/29 15:10,01F1292S,01F1389S,31,100,105
2024/04/29 15:10,01F1572N,01F1465N,31,104,154
2024/04/29 15:10,01F1389S,01F1465S,31,100,119
2024/04/29 15:10,01F1621N,01F1572N,31,100,164
2024/04/29 15:10,01F1465S,01F1572S,31,100,130
2024/04/29 15:10,01F1664N,01F1621N,31,104,165
2024/04/29 15:10,03F1651S,01F1621N,31,0,0
2024/04/29 15:10,03F1710N,01F1621N,31,86,2
2024/04/29 15:10,01F1572S,01F1621S,31,104,102
2024/04/29 15:10,01F1699N,01F1664N,31,93,251
2024/04/29 15:10,01F1621S,01F1664S,31,104,77
2024/04/29 15:10,03F1651S,01F1664S,31,90,17
2024/04/29 15:10,03F1710N,01F1664S,31,61,6
2024/04/29 15:10,01F1774N,01F1699N,31,97,174
2024/04/29 15:10,01F1664S,01F1699S,31,28,128
2024/04/29 15:10,01F1802N,01F1774N,31,100,137
2024/04/29 15:10,01F1699S,01F1774S,31,46,112
2024/04/29 15:10,01F1839N,01F1802N,31,100,125
2024/04/29 15:10,01F1774S,01F1802S,31,100,96
2024/04/29 15:10,01F1906N,01F1839N,31,100,150
2024/04/29 15:10,01F1802S,01F1839S,31,102,126
2024/04/29 15:10,01F1960N,01F1906N,31,104,158
2024/04/29 15:10,03F1944S,01F1906N,31,64,6
2024/04/29 15:10,03F1992N,01F1906N,31,61,12
2024/04/29 15:10,01F1839S,01F1906S,31,100,134
2024/04/29 15:10,01F2011N,01F1960N,31,97,159
2024/04/29 15:10,01F1906S,01F1960S,31,100,132
2024/04/29 15:10,03F1944S,01F1960S,31,75,48
2024/04/29 15:10,03F1992N,01F1960S,31,68,47
2024/04/29 15:10,01F2089N,01F2011N,31,93,163
2024/04/29 15:10,01F1960S,01F2011S,31,100,151
2024/04/29 15:10,01F2156N,01F2089N,31,100,199
2024/04/29 15:10,01F2011S,01F2089S,31,97,137
2024/04/29 15:10,01F2249N,01F2156N,31,104,144
2024/04/29 15:10,01F2089S,01F2156S,31,104,142
2024/04/29 15:10,01F2322N,01F2249N,31,97,171
2024/04/29 15:10,01F2156S,01F2249S,31,104,139
2024/04/29 15:10,01F2394N,01F2322N,31,100,184
2024/04/29 15:10,01F2249S,01F2322S,31,104,112
2024/04/29 15:10,01F2425N,01F2394N,31,108,134
2024/04/29 15:10,01F2322S,01F2394S,31,104,137
2024/04/29 15:10,01F2472N,01F2425N,31,108,128
2024/04/29 15:10,01F2394S,01F2425S,31,108,139
2024/04/29 15:10,01F2514N,01F2472N,31,104,138
2024/04/29 15:10,01F2425S,01F2472S,31,108,125
2024/04/29 15:10,01F2603N,01F2514N,31,104,117
2024/04/29 15:10,01F2472S,01F2514S,31,104,111
2024/04/29 15:10,01F2674N,01F2603N,31,108,108
2024/04/29 15:10,01F2514S,01F2603S,31,108,104
2024/04/29 15:10,01F2714N,01F2674N,31,104,125
2024/04/29 15:10,01F2603S,01F2674S,31,104,84
2024/04/29 15:10,01F2827N,01F2714N,31,108,86
2024/04/29 15:10,01F2674S,01F2714S,31,104,92
2024/04/29 15:10,01F2866N,01F2827N,31,104,119
2024/04/29 15:10,01F2714S,01F2827S,31,104,97
2024/04/29 15:10,01F2930N,01F2866N,31,108,123
2024/04/29 15:10,01F2827S,01F2866S,31,100,104
2024/04/29 15:10,01F3019N,01F2930N,31,104,149
2024/04/29 15:10,01F2866S,01F2930S,31,108,81
2024/04/29 15:10,01F3083N,01F3019N,31,100,140
2024/04/29 15:10,01F2930S,01F3019S,31,108,107
2024/04/29 15:10,01F3126N,01F3083N,31,100,156
2024/04/29 15:10,01F3019S,01F3083S,31,100,139
2024/04/29 15:10,01F3185N,01F3126N,31,100,162
2024/04/29 15:10,03F3445S,01F3126N,31,10,1
2024/04/29 15:10,03F3496N,01F3126N,31,93,4
2024/04/29 15:10,01F3083S,01F3126S,31,86,211
2024/04/29 15:10,01F3227N,01F3185N,31,100,176
2024/04/29 15:10,01F3126S,01F3185S,31,86,183
2024/04/29 15:10,03F3445S,01F3185S,31,75,10
2024/04/29 15:10,03F3496N,01F3185S,31,72,1
2024/04/29 15:10,01F3252N,01F3227N,31,97,141
2024/04/29 15:10,01F3185S,01F3227S,31,72,178
2024/04/29 15:10,01F3286N,01F3252N,31,100,116
2024/04/29 15:10,01F3227S,01F3252S,31,93,168
2024/04/29 15:10,01F3366N,01F3286N,31,100,120
2024/04/29 15:10,01F3252S,01F3286S,31,100,138
2024/04/29 15:10,01F3398N,01F3366N,31,100,153
2024/04/29 15:10,01F3286S,01F3366S,31,93,124
2024/04/29 15:10,01F3460N,01F3398N,31,97,144
2024/04/29 15:10,01F3366S,01F3398S,31,100,160
2024/04/29 15:10,01F3535N,01F3460N,31,93,175
2024/04/29 15:10,01F3398S,01F3460S,31,93,158
2024/04/29 15:10,01F3559N,01F3535N,31,90,174
2024/04/29 15:10,01F3460S,01F3535S,31,86,186
2024/04/29 15:10,01F3590N,01F3559N,31,93,141
2024/04/29 15:10,01F3535S,01F3561S,31,86,176
2024/04/29 15:10,01F3640N,01F3590N,31,93,167
2024/04/29 15:10,03F3743S,01F3590N,31,100,1
2024/04/29 15:10,03F3854N,01F3590N,31,0,0
2024/04/29 15:10,01F3561S,01F3590S,31,86,163
2024/04/29 15:10,01F3676N,01F3640N,31,90,161
2024/04/29 15:10,01F3590S,01F3640S,31,90,154
2024/04/29 15:10,03F3743S,01F3640S,31,93,12
2024/04/29 15:10,03F3854N,01F3640S,31,82,7
2024/04/29 15:10,01F3696N,01F3676N,31,86,156
2024/04/29 15:10,01F3640S,01F3676S,31,90,144
2024/04/29 15:10,01F3676S,01F3686S,31,86,166
2024/04/29 15:10,01F3736N,01F3696N,31,79,13
2024/04/29 15:10,01F3686S,01F3736S,31,82,9
2024/04/29 15:10,01F0099S,01H0163S,31,100,50
2024/04/29 15:10,03F0087S,01H0163S,31,104,8
2024/04/29 15:10,03F0116N,01H0163S,31,79,26
2024/04/29 15:10,01H0200N,01H0174N,31,93,51
2024/04/29 15:10,01H0208N,01H0200N,31,90,145
2024/04/29 15:10,01H0163S,01H0206S,31,90,85
2024/04/29 15:10,01H0271N,01H0208N,31,90,164
2024/04/29 15:10,01F0340N,01H0271N,31,93,88
2024/04/29 15:10,01H0333N,01H0271N,31,93,77
2024/04/29 15:10,01H0206S,01H0305S,31,86,175
2024/04/29 15:10,01H0447N,01H0333N,31,93,78
2024/04/29 15:10,01H0305S,01H0334S,31,90,80
2024/04/29 15:10,01H0579N,01H0447N,31,100,96
2024/04/29 15:10,01F0339S,01H0447S,31,72,116
2024/04/29 15:10,01H0334S,01H0447S,31,93,81
2024/04/29 15:10,01F0633N,01H0579N,31,79,43
2024/04/29 15:10,01H0608N,01H0579N,31,86,86
2024/04/29 15:10,01H0447S,01H0579S,31,93,87
2024/04/29 15:10,01F0750N,01H0608N,31,93,113
2024/04/29 15:10,01F0578S,01H0610S,31,57,55
2024/04/29 15:10,01H0579S,01H0610S,31,86,54
2024/04/29 15:10,03A0041N,03A0015N,31,73,54
2024/04/29 15:10,03F0201S,03A0041N,31,79,63
2024/04/29 15:10,03F0217N,03A0041N,31,61,30
2024/04/29 15:10,03A0015S,03A0041S,31,82,30
2024/04/29 15:10,03F0054N,03F0021N,31,90,38
2024/04/29 15:10,01F0099S,03F0054N,31,0,0
2024/04/29 15:10,01F0147N,03F0054N,31,90,15
2024/04/29 15:10,01H0174N,03F0054N,31,97,13
2024/04/29 15:10,03F0116N,03F0054N,31,93,27
2024/04/29 15:10,03F0006S,03F0087S,31,90,45
2024/04/29 15:10,03F0140N,03F0116N,31,86,89
2024/04/29 15:10,01F0099S,03F0116S,31,54,53
2024/04/29 15:10,01F0147N,03F0116S,31,82,22
2024/04/29 15:10,01H0174N,03F0116S,31,100,37
2024/04/29 15:10,03F0087S,03F0116S,31,90,28
2024/04/29 15:10,03F0116S,03F0136S,31,86,109
2024/04/29 15:10,03F0150N,03F0140N,31,93,98
2024/04/29 15:10,03F0201N,03F0150N,31,86,82
2024/04/29 15:10,05F0001N,03F0150N,31,93,69
2024/04/29 15:10,03F0136S,03F0158S,31,86,125
2024/04/29 15:10,03A0041S,03F0201N,31,39,36
2024/04/29 15:10,03F0217N,03F0201N,31,91,100
2024/04/29 15:10,03F0158S,03F0201S,31,82,118
2024/04/29 15:10,05F0001N,03F0201S,31,61,58
2024/04/29 15:10,03F0301N,03F0217N,31,82,124
2024/04/29 15:10,03A0041S,03F0217S,31,73,32
2024/04/29 15:10,03F0201S,03F0217S,31,90,107
2024/04/29 15:10,03F0338N,03F0301N,31,93,99
2024/04/29 15:10,03F0217S,03F0301S,31,82,133
2024/04/29 15:10,03F0301S,03F0337S,31,28,138
2024/04/29 15:10,03F0394N,03F0338N,31,90,148
2024/04/29 15:10,03F0447N,03F0394N,31,93,243
2024/04/29 15:10,03F0337S,03F0394S,31,75,159
2024/04/29 15:10,03F0498N,03F0447N,31,100,318
2024/04/29 15:10,03F0394S,03F0447S,31,97,218
2024/04/29 15:10,03F0525N,03F0498N,31,97,262
2024/04/29 15:10,03F0447S,03F0498S,31,93,280
2024/04/29 15:10,01F0511S,03F0525N,31,68,15
2024/04/29 15:10,01F0532N,03F0525N,31,79,20
2024/04/29 15:10,03F0559N,03F0525N,31,100,157
2024/04/29 15:10,03F0498S,03F0525S,31,90,215
2024/04/29 15:10,03F0648N,03F0559N,31,104,135
2024/04/29 15:10,01F0511S,03F0559S,31,68,16
2024/04/29 15:10,01F0532N,03F0559S,31,79,3
2024/04/29 15:10,03F0525S,03F0559S,31,97,137
2024/04/29 15:10,03F0698N,03F0648N,31,100,170
2024/04/29 15:10,03F0559S,03F0648S,31,97,150
2024/04/29 15:10,03F0746N,03F0698N,31,100,176
2024/04/29 15:10,03F0648S,03F0698S,31,99,110
2024/04/29 15:10,03F0746S,03F0746N,31,27,6
2024/04/29 15:10,03F0783N,03F0746N,31,104,174
2024/04/29 15:10,03F0698S,03F0746S,31,104,112
2024/04/29 15:10,03F0846N,03F0783N,31,104,177
2024/04/29 15:10,03F0746S,03F0783S,31,108,106
2024/04/29 15:10,03F0783N,03F0783S,31,7,3
2024/04/29 15:10,03F0961N,03F0846N,31,104,160
2024/04/29 15:10,03F0783S,03F0846S,31,104,119
2024/04/29 15:10,03F0996N,03F0961N,31,104,155
2024/04/29 15:10,03F0846S,03F0961S,31,108,71
2024/04/29 15:10,01F0980S,03F0996N,31,64,16
2024/04/29 15:10,01F1045N,03F0996N,31,97,53
2024/04/29 15:10,03F1022N,03F0996N,31,108,106
2024/04/29 15:10,03F0961S,03F0996S,31,104,78
2024/04/29 15:10,03F1051N,03F1022N,31,104,157
