TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 18:15,01F0017N,01F0005N,31,90,80
2024/04/29 18:15,01F0029N,01F0017N,31,90,121
2024/04/29 18:15,01F0005S,01F0017S,31,86,43
2024/04/29 18:15,01F0061N,01F0029N,31,93,155
2024/04/29 18:15,01F0017S,01F0029S,31,93,73
2024/04/29 18:15,01F0099N,01F0061N,31,46,219
2024/04/29 18:15,01F0029S,01F0061S,31,90,91
2024/04/29 18:15,01F0147N,01F0099N,31,25,78
2024/04/29 18:15,01H0174N,01F0099N,31,39,67
2024/04/29 18:15,03F0087S,01F0099N,31,5,2
2024/04/29 18:15,03F0116N,01F0099N,31,18,75
2024/04/29 18:15,01F0061S,01F0099S,31,90,141
2024/04/29 18:15,01F0153N,01F0147N,31,68,175
2024/04/29 18:15,01F0099S,01F0147S,31,90,69
2024/04/29 18:15,03F0087S,01F0147S,31,86,13
2024/04/29 18:15,03F0116N,01F0147S,31,57,33
2024/04/29 18:15,01F0213N,01F0153N,31,54,97
2024/04/29 18:15,01F0147S,01F0153S,31,90,139
2024/04/29 18:15,01F0153S,01F0182S,31,46,160
2024/04/29 18:15,01F0233N,01F0213N,31,84,106
2024/04/29 18:15,01F0256N,01F0233N,31,79,241
2024/04/29 18:15,01F0182S,01F0248S,31,25,184
2024/04/29 18:15,01F0293N,01F0256N,31,90,269
2024/04/29 18:15,01F0248S,01F0264S,31,79,285
2024/04/29 18:15,01F0340N,01F0293N,31,93,229
2024/04/29 18:15,01F0264S,01F0293S,31,90,279
2024/04/29 18:15,01F0293S,01F0339S,31,86,242
2024/04/29 18:15,01H0305S,01F0339S,31,82,107
2024/04/29 18:15,01F0376N,01F0340N,31,25,354
2024/04/29 18:15,01H0447N,01F0340N,31,36,109
2024/04/29 18:15,01F0413N,01F0376N,31,14,172
2024/04/29 18:15,01F0339S,01F0376S,31,68,412
2024/04/29 18:15,01F0467N,01F0413N,31,46,177
2024/04/29 18:15,01F0376S,01F0413S,31,43,181
2024/04/29 18:15,01F0492N,01F0467N,31,93,179
2024/04/29 18:15,01F0413S,01F0467S,31,90,218
2024/04/29 18:15,01F0511N,01F0492N,31,97,176
2024/04/29 18:15,01F0467S,01F0492S,31,97,191
2024/04/29 18:15,01F0532N,01F0511N,31,86,231
2024/04/29 18:15,03F0525S,01F0511N,31,63,12
2024/04/29 18:15,03F0559N,01F0511N,31,82,13
2024/04/29 18:15,01F0492S,01F0511S,31,79,169
2024/04/29 18:15,01F0532S,01F0532N,31,3,3
2024/04/29 18:15,01F0557N,01F0532N,31,43,271
2024/04/29 18:15,01F0511S,01F0532S,31,82,211
2024/04/29 18:15,03F0525S,01F0532S,31,61,8
2024/04/29 18:15,03F0559N,01F0532S,31,0,0
2024/04/29 18:15,01F0584N,01F0557N,31,54,205
2024/04/29 18:15,01F0532S,01F0557S,31,68,272
2024/04/29 18:15,01F0557N,01F0557S,31,0,4
2024/04/29 18:15,01F0557S,01F0578S,31,21,185
2024/04/29 18:15,01F0633N,01F0584N,31,43,173
2024/04/29 18:15,01H0608N,01F0584N,31,64,92
2024/04/29 18:15,01F0664N,01F0633N,31,90,173
2024/04/29 18:15,01F0578S,01F0633S,31,46,132
2024/04/29 18:15,01H0579S,01F0633S,31,54,46
2024/04/29 18:15,01F0681N,01F0664N,31,93,195
2024/04/29 18:15,01F0633S,01F0664S,31,90,168
2024/04/29 18:15,01F0699N,01F0681N,31,93,134
2024/04/29 18:15,01F0664S,01F0681S,31,75,176
2024/04/29 18:15,01F0750N,01F0699N,31,97,173
2024/04/29 18:15,01F0681S,01F0699S,31,93,82
2024/04/29 18:15,01F0880N,01F0750N,31,90,202
2024/04/29 18:15,01F0699S,01F0750S,31,100,100
2024/04/29 18:15,01H0610S,01F0750S,31,93,114
2024/04/29 18:15,01F0928N,01F0880N,31,79,235
2024/04/29 18:15,01F0750S,01F0880S,31,93,178
2024/04/29 18:15,01F0956N,01F0928N,31,39,203
2024/04/29 18:15,01F0880S,01F0928S,31,86,205
2024/04/29 18:15,01F0928S,01F0950S,31,93,138
2024/04/29 18:15,01F0979N,01F0956N,31,82,192
2024/04/29 18:15,01F1045N,01F0979N,31,100,122
2024/04/29 18:15,03F0996S,01F0979N,31,104,59
2024/04/29 18:15,03F1022N,01F0979N,31,61,141
2024/04/29 18:15,01F0950S,01F0980S,31,90,138
2024/04/29 18:15,01F1123N,01F1045N,31,100,124
2024/04/29 18:15,01F0980S,01F1045S,31,97,195
2024/04/29 18:15,03F0996S,01F1045S,31,90,51
2024/04/29 18:15,03F1022N,01F1045S,31,90,5
2024/04/29 18:15,01F1292N,01F1123N,31,100,142
2024/04/29 18:15,01F1045S,01F1123S,31,97,98
2024/04/29 18:15,01F1389N,01F1292N,31,104,150
2024/04/29 18:15,01F1123S,01F1292S,31,100,120
2024/04/29 18:15,01F1465N,01F1389N,31,104,129
2024/04/29 18:15,01F1292S,01F1389S,31,100,114
2024/04/29 18:15,01F1572N,01F1465N,31,104,114
2024/04/29 18:15,01F1389S,01F1465S,31,104,108
2024/04/29 18:15,01F1621N,01F1572N,31,108,110
2024/04/29 18:15,01F1465S,01F1572S,31,104,118
2024/04/29 18:15,01F1664N,01F1621N,31,108,117
2024/04/29 18:15,03F1651S,01F1621N,31,0,0
2024/04/29 18:15,03F1710N,01F1621N,31,100,2
2024/04/29 18:15,01F1572S,01F1621S,31,100,144
2024/04/29 18:15,01F1699N,01F1664N,31,100,187
2024/04/29 18:15,01F1621S,01F1664S,31,100,149
2024/04/29 18:15,03F1651S,01F1664S,31,93,22
2024/04/29 18:15,03F1710N,01F1664S,31,90,7
2024/04/29 18:15,01F1774N,01F1699N,31,93,204
2024/04/29 18:15,01F1664S,01F1699S,31,93,209
2024/04/29 18:15,01F1802N,01F1774N,31,97,167
2024/04/29 18:15,01F1699S,01F1774S,31,82,211
2024/04/29 18:15,01F1839N,01F1802N,31,100,210
2024/04/29 18:15,01F1774S,01F1802S,31,104,136
2024/04/29 18:15,01F1906N,01F1839N,31,100,186
2024/04/29 18:15,01F1802S,01F1839S,31,104,164
2024/04/29 18:15,01F1960N,01F1906N,31,100,187
2024/04/29 18:15,03F1944S,01F1906N,31,68,15
2024/04/29 18:15,03F1992N,01F1906N,31,64,12
2024/04/29 18:15,01F1839S,01F1906S,31,104,162
2024/04/29 18:15,01F2011N,01F1960N,31,100,180
2024/04/29 18:15,01F1906S,01F1960S,31,104,181
2024/04/29 18:15,03F1944S,01F1960S,31,75,43
2024/04/29 18:15,03F1992N,01F1960S,31,72,40
2024/04/29 18:15,01F2089N,01F2011N,31,100,207
2024/04/29 18:15,01F1960S,01F2011S,31,100,165
2024/04/29 18:15,01F2156N,01F2089N,31,100,159
2024/04/29 18:15,01F2011S,01F2089S,31,104,181
2024/04/29 18:15,01F2249N,01F2156N,31,104,137
2024/04/29 18:15,01F2089S,01F2156S,31,104,158
2024/04/29 18:15,01F2322N,01F2249N,31,100,119
2024/04/29 18:15,01F2156S,01F2249S,31,108,113
2024/04/29 18:15,01F2394N,01F2322N,31,108,124
2024/04/29 18:15,01F2249S,01F2322S,31,108,102
2024/04/29 18:15,01F2425N,01F2394N,31,111,127
2024/04/29 18:15,01F2322S,01F2394S,31,108,112
2024/04/29 18:15,01F2472N,01F2425N,31,108,100
2024/04/29 18:15,01F2394S,01F2425S,31,111,113
2024/04/29 18:15,01F2514N,01F2472N,31,100,103
2024/04/29 18:15,01F2425S,01F2472S,31,108,111
2024/04/29 18:15,01F2603N,01F2514N,31,108,87
2024/04/29 18:15,01F2472S,01F2514S,31,100,126
2024/04/29 18:15,01F2674N,01F2603N,31,104,111
2024/04/29 18:15,01F2514S,01F2603S,31,104,107
2024/04/29 18:15,01F2714N,01F2674N,31,108,111
2024/04/29 18:15,01F2603S,01F2674S,31,108,90
2024/04/29 18:15,01F2827N,01F2714N,31,108,86
2024/04/29 18:15,01F2674S,01F2714S,31,108,84
2024/04/29 18:15,01F2866N,01F2827N,31,111,101
2024/04/29 18:15,01F2714S,01F2827S,31,104,79
2024/04/29 18:15,01F2930N,01F2866N,31,108,93
2024/04/29 18:15,01F2827S,01F2866S,31,108,87
2024/04/29 18:15,01F3019N,01F2930N,31,104,149
2024/04/29 18:15,01F2866S,01F2930S,31,104,107
2024/04/29 18:15,01F3083N,01F3019N,31,108,126
