TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 18:30,01F0017N,01F0005N,31,82,88
2024/04/29 18:30,01F0029N,01F0017N,31,82,125
2024/04/29 18:30,01F0005S,01F0017S,31,86,63
2024/04/29 18:30,01F0061N,01F0029N,31,86,158
2024/04/29 18:30,01F0017S,01F0029S,31,90,86
2024/04/29 18:30,01F0099N,01F0061N,31,50,205
2024/04/29 18:30,01F0029S,01F0061S,31,90,90
2024/04/29 18:30,01F0147N,01F0099N,31,28,97
2024/04/29 18:30,01H0174N,01F0099N,31,43,74
2024/04/29 18:30,03F0087S,01F0099N,31,3,1
2024/04/29 18:30,03F0116N,01F0099N,31,25,83
2024/04/29 18:30,01F0061S,01F0099S,31,93,130
2024/04/29 18:30,01F0153N,01F0147N,31,68,172
2024/04/29 18:30,01F0099S,01F0147S,31,93,58
2024/04/29 18:30,03F0087S,01F0147S,31,84,6
2024/04/29 18:30,03F0116N,01F0147S,31,54,34
2024/04/29 18:30,01F0213N,01F0153N,31,50,106
2024/04/29 18:30,01F0147S,01F0153S,31,90,135
2024/04/29 18:30,01F0153S,01F0182S,31,50,105
2024/04/29 18:30,01F0233N,01F0213N,31,82,129
2024/04/29 18:30,01F0256N,01F0233N,31,75,232
2024/04/29 18:30,01F0182S,01F0248S,31,25,176
2024/04/29 18:30,01F0293N,01F0256N,31,82,259
2024/04/29 18:30,01F0248S,01F0264S,31,75,265
2024/04/29 18:30,01F0340N,01F0293N,31,90,244
2024/04/29 18:30,01F0264S,01F0293S,31,82,291
2024/04/29 18:30,01F0293S,01F0339S,31,86,219
2024/04/29 18:30,01H0305S,01F0339S,31,82,126
2024/04/29 18:30,01F0376N,01F0340N,31,25,338
2024/04/29 18:30,01H0447N,01F0340N,31,36,144
2024/04/29 18:30,01F0413N,01F0376N,31,18,176
2024/04/29 18:30,01F0339S,01F0376S,31,61,413
2024/04/29 18:30,01F0467N,01F0413N,31,79,181
2024/04/29 18:30,01F0376S,01F0413S,31,43,195
2024/04/29 18:30,01F0492N,01F0467N,31,93,161
2024/04/29 18:30,01F0413S,01F0467S,31,86,203
2024/04/29 18:30,01F0511N,01F0492N,31,97,176
2024/04/29 18:30,01F0467S,01F0492S,31,93,197
2024/04/29 18:30,01F0532N,01F0511N,31,82,224
2024/04/29 18:30,03F0525S,01F0511N,31,50,18
2024/04/29 18:30,03F0559N,01F0511N,31,79,13
2024/04/29 18:30,01F0492S,01F0511S,31,68,213
2024/04/29 18:30,01F0532S,01F0532N,31,3,5
2024/04/29 18:30,01F0557N,01F0532N,31,43,287
2024/04/29 18:30,01F0511S,01F0532S,31,75,246
2024/04/29 18:30,03F0525S,01F0532S,31,54,9
2024/04/29 18:30,03F0559N,01F0532S,31,79,1
2024/04/29 18:30,01F0584N,01F0557N,31,43,229
2024/04/29 18:30,01F0532S,01F0557S,31,79,255
2024/04/29 18:30,01F0557N,01F0557S,31,5,4
2024/04/29 18:30,01F0557S,01F0578S,31,39,201
2024/04/29 18:30,01F0633N,01F0584N,31,86,154
2024/04/29 18:30,01H0608N,01F0584N,31,86,81
2024/04/29 18:30,01F0664N,01F0633N,31,90,174
2024/04/29 18:30,01F0578S,01F0633S,31,50,121
2024/04/29 18:30,01H0579S,01F0633S,31,61,35
2024/04/29 18:30,01F0681N,01F0664N,31,90,186
2024/04/29 18:30,01F0633S,01F0664S,31,90,142
2024/04/29 18:30,01F0699N,01F0681N,31,93,132
2024/04/29 18:30,01F0664S,01F0681S,31,86,175
2024/04/29 18:30,01F0750N,01F0699N,31,93,176
2024/04/29 18:30,01F0681S,01F0699S,31,93,66
2024/04/29 18:30,01F0880N,01F0750N,31,93,207
