TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 07:25,01F0017N,01F0005N,31,93,63
2024/04/29 07:25,01F0029N,01F0017N,31,93,86
2024/04/29 07:25,01F0005S,01F0017S,31,90,78
2024/04/29 07:25,01F0061N,01F0029N,31,97,103
2024/04/29 07:25,01F0017S,01F0029S,31,90,134
2024/04/29 07:25,01F0099N,01F0061N,31,90,163
2024/04/29 07:25,01F0029S,01F0061S,31,32,205
2024/04/29 07:25,01F0147N,01F0099N,31,93,99
2024/04/29 07:25,01H0174N,01F0099N,31,104,40
2024/04/29 07:25,03F0087S,01F0099N,31,5,2
2024/04/29 07:25,03F0116N,01F0099N,31,82,55
2024/04/29 07:25,01F0061S,01F0099S,31,21,190
2024/04/29 07:25,01F0153N,01F0147N,31,90,188
2024/04/29 07:25,01F0099S,01F0147S,31,36,114
2024/04/29 07:25,03F0087S,01F0147S,31,32,76
2024/04/29 07:25,03F0116N,01F0147S,31,21,17
2024/04/29 07:25,01F0213N,01F0153N,31,82,135
2024/04/29 07:25,01F0147S,01F0153S,31,28,241
2024/04/29 07:25,01F0153S,01F0182S,31,57,165
2024/04/29 07:25,01F0233N,01F0213N,31,57,156
2024/04/29 07:25,01F0256N,01F0233N,31,39,301
2024/04/29 07:25,01F0182S,01F0248S,31,79,173
2024/04/29 07:25,01F0293N,01F0256N,31,25,255
2024/04/29 07:25,01F0248S,01F0264S,31,93,251
2024/04/29 07:25,01F0340N,01F0293N,31,90,254
2024/04/29 07:25,01F0264S,01F0293S,31,93,288
2024/04/29 07:25,01F0293S,01F0339S,31,68,271
2024/04/29 07:25,01H0305S,01F0339S,31,68,102
2024/04/29 07:25,01F0376N,01F0340N,31,72,450
2024/04/29 07:25,01H0447N,01F0340N,31,82,140
2024/04/29 07:25,01F0413N,01F0376N,31,36,265
2024/04/29 07:25,01F0339S,01F0376S,31,68,353
2024/04/29 07:25,01F0467N,01F0413N,31,32,215
2024/04/29 07:25,01F0376S,01F0413S,31,39,213
2024/04/29 07:25,01F0492N,01F0467N,31,25,182
2024/04/29 07:25,01F0413S,01F0467S,31,97,191
2024/04/29 07:25,01F0511N,01F0492N,31,95,192
2024/04/29 07:25,01F0467S,01F0492S,31,100,211
2024/04/29 07:25,01F0532N,01F0511N,31,90,246
2024/04/29 07:25,03F0525S,01F0511N,31,68,27
2024/04/29 07:25,03F0559N,01F0511N,31,64,16
2024/04/29 07:25,01F0492S,01F0511S,31,97,192
2024/04/29 07:25,01F0532S,01F0532N,31,3,12
2024/04/29 07:25,01F0557N,01F0532N,31,86,336
2024/04/29 07:25,01F0511S,01F0532S,31,46,256
2024/04/29 07:25,03F0525S,01F0532S,31,54,20
2024/04/29 07:25,03F0559N,01F0532S,31,54,1
2024/04/29 07:25,01F0584N,01F0557N,31,86,223
2024/04/29 07:25,01F0532S,01F0557S,31,43,312
