TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 06:55,01F0017N,01F0005N,31,93,53
2024/04/29 06:55,01F0029N,01F0017N,31,93,69
2024/04/29 06:55,01F0005S,01F0017S,31,90,97
2024/04/29 06:55,01F0061N,01F0029N,31,97,73
2024/04/29 06:55,01F0017S,01F0029S,31,86,162
2024/04/29 06:55,01F0099N,01F0061N,31,93,144
2024/04/29 06:55,01F0029S,01F0061S,31,75,209
2024/04/29 06:55,01F0147N,01F0099N,31,97,58
2024/04/29 06:55,01H0174N,01F0099N,31,111,47
2024/04/29 06:55,03F0087S,01F0099N,31,0,0
2024/04/29 06:55,03F0116N,01F0099N,31,86,41
2024/04/29 06:55,01F0061S,01F0099S,31,50,264
2024/04/29 06:55,01F0153N,01F0147N,31,97,114
2024/04/29 06:55,01F0099S,01F0147S,31,68,126
2024/04/29 06:55,03F0087S,01F0147S,31,75,53
2024/04/29 06:55,03F0116N,01F0147S,31,50,24
2024/04/29 06:55,01F0213N,01F0153N,31,90,105
2024/04/29 06:55,01F0147S,01F0153S,31,46,235
2024/04/29 06:55,01F0153S,01F0182S,31,72,146
2024/04/29 06:55,01F0233N,01F0213N,31,79,149
2024/04/29 06:55,01F0256N,01F0233N,31,46,323
2024/04/29 06:55,01F0182S,01F0248S,31,72,137
2024/04/29 06:55,01F0293N,01F0256N,31,72,281
2024/04/29 06:55,01F0248S,01F0264S,31,97,227
2024/04/29 06:55,01F0340N,01F0293N,31,90,293
2024/04/29 06:55,01F0264S,01F0293S,31,97,249
2024/04/29 06:55,01F0293S,01F0339S,31,82,285
2024/04/29 06:55,01H0305S,01F0339S,31,86,130
2024/04/29 06:55,01F0376N,01F0340N,31,79,535
2024/04/29 06:55,01H0447N,01F0340N,31,86,113
2024/04/29 06:55,01F0413N,01F0376N,31,39,253
2024/04/29 06:55,01F0339S,01F0376S,31,82,369
2024/04/29 06:55,01F0467N,01F0413N,31,50,259
2024/04/29 06:55,01F0376S,01F0413S,31,86,197
2024/04/29 06:55,01F0492N,01F0467N,31,39,263
2024/04/29 06:55,01F0413S,01F0467S,31,100,159
2024/04/29 06:55,01F0511N,01F0492N,31,61,264
2024/04/29 06:55,01F0467S,01F0492S,31,100,172
2024/04/29 06:55,01F0532N,01F0511N,31,90,208
2024/04/29 06:55,03F0525S,01F0511N,31,75,14
2024/04/29 06:55,03F0559N,01F0511N,31,79,28
2024/04/29 06:55,01F0492S,01F0511S,31,97,161
2024/04/29 06:55,01F0532S,01F0532N,31,7,10
2024/04/29 06:55,01F0557N,01F0532N,31,86,296
2024/04/29 06:55,01F0511S,01F0532S,31,93,196
2024/04/29 06:55,03F0525S,01F0532S,31,72,24
2024/04/29 06:55,03F0559N,01F0532S,31,23,2
2024/04/29 06:55,01F0584N,01F0557N,31,90,209
2024/04/29 06:55,01F0532S,01F0557S,31,90,276
2024/04/29 06:55,01F0557N,01F0557S,31,0,8
2024/04/29 06:55,01F0557S,01F0578S,31,54,214
2024/04/29 06:55,01F0633N,01F0584N,31,61,153
2024/04/29 06:55,01H0608N,01F0584N,31,86,79
2024/04/29 06:55,01F0664N,01F0633N,31,97,142
2024/04/29 06:55,01F0578S,01F0633S,31,72,156
2024/04/29 06:55,01H0579S,01F0633S,31,86,53
2024/04/29 06:55,01F0681N,01F0664N,31,97,186
2024/04/29 06:55,01F0633S,01F0664S,31,93,159
2024/04/29 06:55,01F0699N,01F0681N,31,97,46
2024/04/29 06:55,01F0664S,01F0681S,31,97,194
2024/04/29 06:55,01F0750N,01F0699N,31,104,78
2024/04/29 06:55,01F0681S,01F0699S,31,97,123
2024/04/29 06:55,01F0880N,01F0750N,31,97,191
2024/04/29 06:55,01F0699S,01F0750S,31,54,114
2024/04/29 06:55,01H0610S,01F0750S,31,79,93
2024/04/29 06:55,01F0928N,01F0880N,31,90,226
2024/04/29 06:55,01F0750S,01F0880S,31,82,181
2024/04/29 06:55,01F0956N,01F0928N,31,97,164
2024/04/29 06:55,01F0880S,01F0928S,31,68,234
2024/04/29 06:55,01F0928S,01F0950S,31,90,155
2024/04/29 06:55,01F0979N,01F0956N,31,100,166
2024/04/29 06:55,01F1045N,01F0979N,31,93,206
2024/04/29 06:55,03F0996S,01F0979N,31,100,39
2024/04/29 06:55,03F1022N,01F0979N,31,57,131
2024/04/29 06:55,01F0950S,01F0980S,31,93,158
2024/04/29 06:55,01F1123N,01F1045N,31,97,152
2024/04/29 06:55,01F0980S,01F1045S,31,100,112
2024/04/29 06:55,03F0996S,01F1045S,31,93,43
2024/04/29 06:55,03F1022N,01F1045S,31,79,6
2024/04/29 06:55,01F1292N,01F1123N,31,104,126
2024/04/29 06:55,01F1045S,01F1123S,31,104,103
2024/04/29 06:55,01F1389N,01F1292N,31,108,148
2024/04/29 06:55,01F1123S,01F1292S,31,100,107
2024/04/29 06:55,01F1465N,01F1389N,31,108,118
2024/04/29 06:55,01F1292S,01F1389S,31,104,105
2024/04/29 06:55,01F1572N,01F1465N,31,104,180
2024/04/29 06:55,01F1389S,01F1465S,31,104,94
2024/04/29 06:55,01F1621N,01F1572N,31,108,154
2024/04/29 06:55,01F1465S,01F1572S,31,104,87
