TimeInterval,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,TrafficVolume
2024/04/29 10:10,01F0017N,01F0005N,31,90,63
2024/04/29 10:10,01F0029N,01F0017N,31,90,65
2024/04/29 10:10,01F0005S,01F0017S,31,93,36
2024/04/29 10:10,01F0061N,01F0029N,31,90,82
2024/04/29 10:10,01F0017S,01F0029S,31,90,66
2024/04/29 10:10,01F0099N,01F0061N,31,46,130
2024/04/29 10:10,01F0029S,01F0061S,31,90,99
2024/04/29 10:10,01F0147N,01F0099N,31,54,58
2024/04/29 10:10,01H0174N,01F0099N,31,72,47
2024/04/29 10:10,03F0087S,01F0099N,31,27,2
2024/04/29 10:10,03F0116N,01F0099N,31,39,36
2024/04/29 10:10,01F0061S,01F0099S,31,90,136
2024/04/29 10:10,01F0153N,01F0147N,31,72,140
2024/04/29 10:10,01F0099S,01F0147S,31,86,82
2024/04/29 10:10,03F0087S,01F0147S,31,88,16
2024/04/29 10:10,03F0116N,01F0147S,31,61,19
2024/04/29 10:10,01F0213N,01F0153N,31,64,85
2024/04/29 10:10,01F0147S,01F0153S,31,90,149
2024/04/29 10:10,01F0153S,01F0182S,31,75,104
2024/04/29 10:10,01F0233N,01F0213N,31,57,106
2024/04/29 10:10,01F0256N,01F0233N,31,36,227
2024/04/29 10:10,01F0182S,01F0248S,31,54,103
2024/04/29 10:10,01F0293N,01F0256N,31,28,210
2024/04/29 10:10,01F0248S,01F0264S,31,86,203
2024/04/29 10:10,01F0340N,01F0293N,31,93,174
2024/04/29 10:10,01F0264S,01F0293S,31,90,199
2024/04/29 10:10,01F0293S,01F0339S,31,86,182
2024/04/29 10:10,01H0305S,01F0339S,31,90,67
2024/04/29 10:10,01F0376N,01F0340N,31,28,309
2024/04/29 10:10,01H0447N,01F0340N,31,82,78
2024/04/29 10:10,01F0413N,01F0376N,31,28,157
2024/04/29 10:10,01F0339S,01F0376S,31,82,275
2024/04/29 10:10,01F0467N,01F0413N,31,39,143
2024/04/29 10:10,01F0376S,01F0413S,31,79,127
2024/04/29 10:10,01F0492N,01F0467N,31,82,190
2024/04/29 10:10,01F0413S,01F0467S,31,93,144
2024/04/29 10:10,01F0511N,01F0492N,31,93,202
2024/04/29 10:10,01F0467S,01F0492S,31,97,164
2024/04/29 10:10,01F0532N,01F0511N,31,90,180
2024/04/29 10:10,03F0525S,01F0511N,31,86,9
2024/04/29 10:10,03F0559N,01F0511N,31,82,15
2024/04/29 10:10,01F0492S,01F0511S,31,93,157
2024/04/29 10:10,01F0532S,01F0532N,31,7,16
2024/04/29 10:10,01F0557N,01F0532N,31,88,246
2024/04/29 10:10,01F0511S,01F0532S,31,86,165
2024/04/29 10:10,03F0525S,01F0532S,31,82,6
2024/04/29 10:10,03F0559N,01F0532S,31,82,1
2024/04/29 10:10,01F0584N,01F0557N,31,90,147
2024/04/29 10:10,01F0532S,01F0557S,31,79,198
2024/04/29 10:10,01F0557N,01F0557S,31,0,4
2024/04/29 10:10,01F0557S,01F0578S,31,86,143
2024/04/29 10:10,01F0633N,01F0584N,31,90,107
2024/04/29 10:10,01H0608N,01F0584N,31,86,54
2024/04/29 10:10,01F0664N,01F0633N,31,93,123
2024/04/29 10:10,01F0578S,01F0633S,31,75,109
2024/04/29 10:10,01H0579S,01F0633S,31,72,46
